id,width,height,initialFrame,finalFrame,numFrames,class,drivingDirection,traveledDistance,minXVelocity,maxXVelocity,meanXVelocity,minDHW,minTHW,minTTC,numLaneChanges
15097,19.28,2.96,0,770,771,truck,2,93.54,0.88,0.08,3.58,49.84,14.64,0.00,0
15098,16.09,2.49,0,1253,1254,truck,2,124.24,2.02,0.08,2.97,3.26,1.44,0.00,1
15099,20.48,2.66,0,543,544,truck,2,46.91,1.74,0.05,2.62,4.42,1.63,0.00,0
15100,14.18,2.36,0,23,24,truck,2,6.15,7.61,-0.11,7.68,0.00,0.00,0.00,0
15101,14.48,2.83,0,70,71,truck,1,32.36,-14.47,0.16,-14.10,0.00,0.00,0.00,0
15102,14.74,2.77,0,165,166,truck,1,78.21,-14.36,0.06,-14.22,20.10,1.42,0.00,0
15103,17.48,2.40,0,303,304,truck,2,25.63,1.77,0.02,2.56,5.62,1.96,-34.44,0
15104,5.44,2.44,0,110,111,truck,1,51.54,-14.20,0.09,-14.07,13.76,0.98,0.00,0
15105,4.61,1.69,0,140,141,car,2,62.19,13.14,0.06,13.37,34.42,2.60,0.00,0
15106,4.31,1.72,0,228,229,car,1,104.55,-14.20,0.24,-13.78,26.66,1.88,-99.12,0
15107,4.39,1.61,0,180,181,car,2,49.65,7.60,0.23,8.26,9.90,1.22,0.00,0
15108,4.69,1.61,0,255,256,car,2,67.33,7.04,0.42,7.86,13.50,1.77,-45.71,0
15109,4.54,1.65,0,138,139,car,2,15.96,2.54,-0.13,3.30,0.00,0.00,0.00,0
15110,4.43,1.72,0,202,203,car,1,102.39,-15.56,0.01,-15.21,21.94,1.49,0.00,0
15111,4.28,1.71,0,397,398,car,2,99.97,6.75,0.15,7.54,7.54,1.12,0.00,0
15112,4.50,1.65,0,54,55,car,2,20.74,11.26,0.03,11.42,0.00,0.00,0.00,0
15113,4.28,1.76,0,148,149,car,1,75.77,-15.47,0.17,-15.41,28.91,1.87,0.00,0
15114,4.13,1.57,0,972,973,car,2,109.11,0.53,0.06,3.38,2.14,0.97,0.00,1
15115,10.88,2.27,0,318,319,bus,2,81.90,7.18,0.08,7.69,9.45,1.25,0.00,0
15116,4.39,1.69,0,178,179,car,2,57.66,5.65,0.28,9.73,0.00,0.00,0.00,0
15117,4.01,1.46,0,521,522,car,2,70.95,0.29,0.03,4.06,3.94,0.73,0.00,1
15118,5.40,1.76,0,1465,1466,truck,2,120.51,1.07,0.08,2.45,0.38,0.32,0.00,0
15119,14.93,2.25,0,1002,1003,truck,2,88.33,0.82,0.14,2.62,3.07,2.62,0.00,0
15120,4.24,1.72,0,282,283,car,1,128.66,-14.90,0.09,-13.71,18.04,1.27,0.00,0
15121,4.13,1.50,0,1574,1575,car,2,132.22,0.44,0.09,2.52,4.72,1.67,0.00,0
15122,4.65,1.72,0,129,130,car,2,35.40,7.88,0.08,8.21,14.55,1.85,0.00,0
15123,4.54,1.61,0,451,452,car,2,119.77,7.18,0.10,7.94,10.12,1.23,0.00,0
15124,3.86,1.54,0,265,266,car,2,107.12,10.83,0.09,12.07,40.46,3.72,-30.36,0
15125,4.35,1.48,0,175,176,car,2,22.81,1.84,0.04,3.78,1.69,0.36,-312.64,1
15126,4.16,1.52,0,761,762,car,2,78.49,0.79,0.08,3.10,2.96,1.79,0.00,0
15127,4.20,1.61,0,316,317,car,2,126.06,10.14,0.09,11.94,15.04,1.42,0.00,0
15128,5.51,2.34,0,68,69,truck,1,32.01,-14.01,0.03,-13.95,0.00,0.00,0.00,0
15129,3.90,1.52,0,256,257,car,1,128.55,-15.46,0.03,-15.09,29.55,1.98,0.00,0
15130,7.28,2.48,0,149,150,truck,1,70.58,-14.62,0.28,-14.25,51.30,3.54,0.00,0
15131,5.40,2.14,0,28,29,truck,1,11.78,-12.78,0.23,-12.74,0.00,0.00,0.00,0
15132,4.35,1.61,0,83,84,car,1,42.84,-16.30,0.01,-15.74,0.00,0.00,0.00,0
15133,6.04,2.19,0,335,336,truck,2,30.56,0.71,0.02,2.68,3.56,3.79,-5.25,0
15134,3.60,1.73,0,2904,2905,car,2,0.04,-0.04,0.07,0.00,0.00,0.00,0.00,0
15135,4.50,1.57,0,67,68,car,2,6.81,2.26,-0.04,2.79,0.00,0.00,0.00,0
15136,5.66,2.06,0,580,581,truck,2,135.99,6.12,0.10,7.05,3.60,0.55,0.00,0
15137,5.66,2.17,18,1689,1672,truck,2,137.89,0.36,0.28,2.49,0.71,0.73,0.00,0
15140,3.98,1.67,33,297,265,car,1,137.85,-16.16,0.10,-15.69,43.88,2.79,0.00,0
15141,4.16,1.67,35,308,274,car,1,138.34,-16.31,0.14,-15.26,21.49,1.39,0.00,0
15142,4.39,1.61,60,432,373,car,2,138.53,8.87,0.14,11.18,29.14,3.28,-51.84,0
15143,5.62,2.21,63,628,566,truck,2,137.91,5.92,0.14,7.30,4.95,0.73,0.00,0
15144,5.59,2.55,63,380,318,truck,1,135.39,-14.62,0.13,-12.91,32.85,2.25,0.00,0
15145,4.09,1.61,79,346,268,car,1,137.62,-16.16,0.26,-15.47,19.65,1.23,0.00,0
15146,3.98,1.63,84,350,267,car,1,137.70,-16.73,0.34,-15.58,16.95,1.13,0.00,0
15148,4.24,1.50,112,484,373,car,2,138.94,8.31,0.08,11.17,10.99,1.31,-70.35,0
15149,4.24,1.65,120,397,278,car,1,138.24,-15.45,0.20,-15.01,17.81,1.19,0.00,0
15147,4.73,1.72,121,1413,1293,car,2,138.30,2.15,0.10,3.20,5.66,2.11,0.00,0
15150,3.79,1.65,130,368,239,car,1,137.85,-18.23,0.06,-17.38,11.89,0.65,0.00,1
15151,4.91,1.57,148,639,492,car,2,124.50,4.78,0.12,7.51,11.17,1.53,0.00,0
15152,10.65,2.94,148,453,306,truck,1,133.57,-13.21,0.05,-12.65,21.97,1.66,-6.21,0
15153,3.94,1.48,155,434,280,car,1,138.64,-15.34,0.41,-14.97,12.45,0.83,0.00,0
15154,4.20,1.57,185,564,380,car,2,139.07,9.29,0.10,11.01,16.99,1.83,0.00,0
15155,4.46,1.72,194,423,230,car,1,137.34,-18.88,0.43,-18.05,28.27,1.61,0.00,0
15156,4.35,1.65,195,481,287,car,1,138.06,-15.46,0.11,-14.54,13.80,0.92,0.00,0
15158,4.13,1.69,212,503,292,car,1,138.32,-14.90,0.05,-14.30,19.05,1.31,0.00,1
15157,4.69,1.72,215,1528,1314,car,2,138.62,2.13,0.12,3.16,2.66,1.20,0.00,0
15159,4.31,1.65,227,770,544,car,2,138.92,6.06,0.09,7.63,12.94,1.83,0.00,0
15160,4.16,1.65,239,523,285,car,1,138.13,-16.99,0.16,-14.67,11.92,0.83,0.00,0
15161,4.05,1.46,247,640,394,car,2,139.31,8.31,0.10,10.59,15.30,1.80,-31.10,0
15162,4.24,1.65,268,546,279,car,1,137.61,-16.99,0.26,-14.89,6.04,0.44,0.00,0
15163,4.16,1.69,285,1901,1617,car,2,139.05,0.86,0.06,2.57,0.04,0.03,0.00,0
15165,3.98,1.54,285,560,276,car,1,138.07,-15.33,0.17,-15.09,48.23,3.15,-22.19,0
15164,9.30,2.29,289,823,535,truck,2,135.62,3.33,0.28,7.49,6.00,0.83,0.00,0
15166,4.46,1.67,293,680,388,car,2,138.43,8.45,0.11,10.72,8.81,1.04,-169.38,0
15168,5.18,2.02,309,585,277,truck,1,136.59,-17.96,0.07,-15.18,5.96,0.34,0.00,0
15169,3.75,1.57,310,591,282,car,1,138.36,-15.91,0.17,-14.77,35.62,2.49,0.00,0
15167,3.68,1.57,312,1614,1303,car,2,139.52,1.81,0.12,3.21,2.74,0.93,0.00,0
15170,4.09,1.69,333,585,253,car,1,137.42,-18.82,0.42,-16.43,15.11,1.01,0.00,0
15171,4.24,1.65,354,621,268,car,1,137.89,-16.05,0.47,-15.58,13.12,0.83,0.00,0
15172,5.59,2.29,367,897,531,truck,2,137.51,6.62,0.14,7.74,8.70,1.16,0.00,0
15173,4.61,1.72,382,740,359,car,2,138.51,10.28,0.11,11.57,19.05,1.72,0.00,0
15174,4.35,1.76,391,662,272,car,1,137.94,-16.02,0.09,-15.29,30.86,2.07,0.00,1
15175,5.70,2.32,400,1807,1408,truck,2,137.78,1.77,0.09,2.94,1.69,0.81,0.00,3
15176,4.35,1.72,406,675,270,car,1,137.46,-17.14,0.21,-15.39,18.07,1.13,0.00,1
15179,4.05,1.76,432,706,275,car,1,138.34,-15.57,0.16,-15.11,10.46,0.72,0.00,3
15177,4.50,1.67,440,2039,1600,car,2,138.92,1.79,0.11,2.60,4.91,2.66,0.00,0
15181,5.03,2.21,442,711,270,truck,1,136.31,-16.02,0.02,-15.35,14.44,0.90,0.00,0
15182,4.13,1.52,453,1024,572,car,2,139.50,4.53,0.28,7.24,5.40,0.80,0.00,0
15183,3.98,1.46,456,819,364,car,2,139.59,6.23,0.06,11.38,23.32,2.29,0.00,0
15184,4.16,1.65,484,699,216,car,1,137.27,-20.52,0.30,-19.24,66.79,3.45,0.00,0
15185,6.34,1.99,487,1896,1410,truck,2,138.26,1.88,0.05,2.95,3.04,1.48,0.00,0
15187,5.29,2.17,501,805,305,truck,1,136.65,-16.01,0.19,-13.69,30.41,2.02,-73.51,1
15186,4.43,1.57,502,1077,576,car,2,139.35,4.10,0.08,7.17,6.00,1.09,0.00,0
15188,4.73,1.65,508,897,390,car,2,138.39,5.51,0.14,10.49,9.41,1.31,-27.17,0
15190,5.40,2.40,522,794,273,truck,1,136.28,-17.41,0.06,-15.24,32.70,1.94,0.00,0
15189,4.09,1.56,532,1527,996,car,2,139.41,2.11,0.07,4.21,1.69,0.36,0.00,1
15191,10.84,2.96,563,860,298,truck,1,134.57,-13.95,0.06,-13.07,16.76,1.24,0.00,0
15192,4.13,1.57,564,821,258,car,1,138.00,-17.15,0.45,-16.22,11.85,0.73,0.00,1
15193,4.05,1.54,570,784,215,car,1,137.42,-20.10,0.29,-19.31,49.54,2.59,0.00,0
15194,4.05,1.57,605,853,249,car,1,137.85,-17.58,0.50,-16.74,14.62,0.88,0.00,0
