trackId,initialFrame,finalFrame,Frame_nums,width,length,class,CrossType,Signal_Violation_Behavior,,,,
12,58,230,173,1.873872379,4.909209013,car,StraightCross,No violation of traffic lights,,,,
14,85,147,63,1.83369556,4.863515734,car,StraightCross,No violation of traffic lights,,,,
15,97,148,52,1.872408321,4.732749193,car,StraightCross,yellow-light running ,,,,
18,141,255,115,1.702996515,4.388982951,car,StraightCross,No violation of traffic lights,,,,
23,244,347,104,0.684711963,1.546969293,motorcycle,StraightCross,red-light running,,,,
27,270,343,74,1.793886017,4.199995085,car,StraightCross,No violation of traffic lights,,,,
28,290,367,78,1.680450524,4.470922001,car,StraightCross,No violation of traffic lights,,,,
29,311,367,57,1.85052373,5.025682758,car,StraightCross,No violation of traffic lights,,,,
30,316,487,172,0.645781892,1.448286066,bicycle,StraightCross,red-light running,,,,
31,322,506,185,0.769036385,1.752409701,bicycle,StraightCross,red-light running,,,,
33,368,454,87,1.607114654,3.917787227,car,StraightCross,No violation of traffic lights,,,,
34,393,511,119,0.946382545,1.686519004,tricycle,StraightCross,No violation of traffic lights,,,,
36,455,539,85,1.58280559,4.057891196,car,StraightCross,No violation of traffic lights,,,,
38,516,631,116,0.649908822,1.581505274,bicycle,StraightCross,No violation of traffic lights,,,,
40,618,920,303,1.764305192,4.717307761,car,StraightCross,No violation of traffic lights,,,,
42,686,803,118,1.222641182,2.9756663,tricycle,StraightCross,No violation of traffic lights,,,,
43,689,841,153,0.843870761,2.005636005,motorcycle,StraightCross,No violation of traffic lights,,,,
45,722,816,95,0.682332509,1.542433817,motorcycle,StraightCross,red-light running,,,,
47,734,1155,422,1.759668545,4.29343823,car,StraightCross,No violation of traffic lights,,,,
48,736,848,113,1.851886877,4.661697632,car,StraightCross,No violation of traffic lights,,,,
50,752,1201,450,0.615916419,1.485885735,bicycle,StraightCross,No violation of traffic lights,,,,
53,789,879,91,1.77124954,4.671850114,car,StraightCross,No violation of traffic lights,,,,
57,837,1026,190,0.751258385,1.912404303,motorcycle,StraightCross,red-light running,,,,
58,856,1136,281,1.921827928,4.549618863,car,StraightCross,No violation of traffic lights,,,,
60,872,966,95,1.806917101,4.632434844,car,StraightCross,No violation of traffic lights,,,,
62,953,1069,117,0.667475442,1.572829538,motorcycle,StraightCross,red-light running,,,,
65,1080,1159,80,1.63941575,3.917202274,car,StraightCross,No violation of traffic lights,,,,
66,967,1086,120,0.763092921,1.583674442,motorcycle,StraightCross,red-light running,,,,
