FrameID,timestamp(ms),Traffic light 1,Traffic light 2,Traffic light 3,Traffic light 4,Traffic light 5,Traffic light 6,Traffic light 7,Traffic light 8
-54,-1801.8018018018,3,0,0,3,3,0,0,3
35,1167.83450116783,0,0,0,0,0,0,0,0
66,2202.2022022022,0,1,1,0,0,1,1,0
844,28161.4948281615,0,3,3,0,0,3,3,0
934,31164.4978311645,0,0,0,0,0,0,0,0
964,32165.4988321655,1,0,0,1,1,0,0,1
2043,68168.1681681682,3,0,0,3,3,0,0,3
2132,71137.8044711378,0,0,0,0,0,0,0,0
2162,72138.8054721388,0,1,1,0,0,1,1,0
2942,98164.8314981648,0,3,3,0,0,3,3,0
3032,101167.834501168,0,0,0,0,0,0,0,0
3061,102135.468802135,1,0,0,1,1,0,0,1
4140,138138.138138138,3,0,0,3,3,0,0,3
4230,141141.141141141,0,0,0,0,0,0,0,0
4259,142108.775442109,0,1,1,0,0,1,1,0
5038,168101.434768101,0,3,3,0,0,3,3,0
5128,171104.437771104,0,0,0,0,0,0,0,0
5158,172105.438772105,1,0,0,1,1,0,0,1
6236,208074.741408075,3,0,0,3,3,0,0,3
6326,211077.744411078,0,0,0,0,0,0,0,0
6357,212112.112112112,0,1,1,0,0,1,1,0
7135,238071.404738071,0,3,3,0,0,3,3,0
7224,241041.041041041,0,0,0,0,0,0,0,0
7255,242075.408742075,1,0,0,1,1,0,0,1
8333,278044.711378045,3,0,0,3,3,0,0,3
8423,281047.714381048,0,0,0,0,0,0,0,0
8452,282015.348682015,0,1,1,0,0,1,1,0
9232,308041.374708041,0,3,3,0,0,3,3,0
9322,311044.377711044,0,0,0,0,0,0,0,0
9350,311978.645311979,1,0,0,1,1,0,0,1
10430,348014.681348015,3,0,0,3,3,0,0,3
10520,351017.684351018,0,0,0,0,0,0,0,0
10550,352018.685352019,0,1,1,0,0,1,1,0
11330,378044.711378045,0,3,3,0,0,3,3,0
11419,381014.347681014,0,0,0,0,0,0,0,0
11449,382015.348682015,1,0,0,1,1,0,0,1
12529,418051.384718051,3,0,0,3,3,0,0,3
12618,421021.021021021,0,0,0,0,0,0,0,0
12648,422022.022022022,0,1,1,0,0,1,1,0
13427,448014.681348015,0,3,3,0,0,3,3,0
13517,451017.684351018,0,0,0,0,0,0,0,0
13546,451985.318651985,1,0,0,1,1,0,0,1
14625,487987.987987988,3,0,0,3,3,0,0,3
14715,490990.990990991,0,0,0,0,0,0,0,0
14745,491991.991991992,0,1,1,0,0,1,1,0
15525,518018.018018018,0,3,3,0,0,3,3,0
15615,521021.021021021,0,0,0,0,0,0,0,0
15646,522055.388722055,1,0,0,1,1,0,0,1
16724,558024.691358025,3,0,0,3,3,0,0,3
16814,561027.694361028,0,0,0,0,0,0,0,0
16844,562028.695362029,0,1,1,0,0,1,1,0
17623,588021.354688021,0,3,3,0,0,3,3,0
17713,591024.357691024,0,0,0,0,0,0,0,0
17743,592025.358692025,1,0,0,1,1,0,0,1
18822,628028.028028028,3,0,0,3,3,0,0,3
18912,631031.031031031,0,0,0,0,0,0,0,0
18941,631998.665331999,0,1,1,0,0,1,1,0
19720,657991.324657991,0,3,3,0,0,3,3,0
19810,660994.327660994,0,0,0,0,0,0,0,0
19839,661961.961961962,1,0,0,1,1,0,0,1
20920,698031.364698031,3,0,0,3,3,0,0,3
21010,701034.367701034,0,0,0,0,0,0,0,0
21040,702035.368702035,0,1,1,0,0,1,1,0
21818,727994.661327995,0,3,3,0,0,3,3,0
21908,730997.664330998,0,0,0,0,0,0,0,0
21939,732032.032032032,1,0,0,1,1,0,0,1
23017,768001.334668001,3,0,0,3,3,0,0,3
23107,771004.337671004,0,0,0,0,0,0,0,0
23137,772005.338672005,0,1,1,0,0,1,1,0
23917,798031.364698031,0,3,3,0,0,3,3,0
24007,801034.367701034,0,0,0,0,0,0,0,0
24037,802035.368702035,1,0,0,1,1,0,0,1
22116,737937.937937938,3,0,0,3,3,0,0,3
25206,841041.041041041,0,0,0,0,0,0,0,0
25236,842042.042042042,0,1,1,0,0,1,1,0
26014,868001.334668001,0,3,3,0,0,3,3,0
26105,871037.704371038,0,0,0,0,0,0,0,0
26134,872005.338672005,1,0,0,1,1,0,0,1
27214,908041.374708041,3,0,0,3,3,0,0,3
27304,911044.377711044,0,0,0,0,0,0,0,0
27334,912045.378712045,0,1,1,0,0,1,1,0
28112,938004.671338005,0,3,3,0,0,3,3,0
28202,941007.674341008,0,0,0,0,0,0,0,0
28232,942008.675342009,1,0,0,1,1,0,0,1
29312,978044.711378045,3,0,0,3,3,0,0,3
29401,981014.347681014,0,0,0,0,0,0,0,0
29431,982015.348682016,0,1,1,0,0,1,1,0
30211,1008041.37470804,0,3,3,0,0,3,3,0
30301,1011044.37771104,0,0,0,0,0,0,0,0
30331,1012045.37871205,1,0,0,1,1,0,0,1
31409,1048014.68134801,3,0,0,3,3,0,0,3
31499,1051017.68435102,0,0,0,0,0,0,0,0
31528,1051985.31865199,0,1,1,0,0,1,1,0
32308,1078011.34467801,0,3,3,0,0,3,3,0
32398,1081014.34768101,0,0,0,0,0,0,0,0
32427,1081981.98198198,1,0,0,1,1,0,0,1
33505,1117951.28461795,3,0,0,3,3,0,0,3
33595,1120954.28762095,0,0,0,0,0,0,0,0
33626,1121988.65532199,0,1,1,0,0,1,1,0
34405,1147981.31464798,0,3,3,0,0,3,3,0
34494,1150950.95095095,0,0,0,0,0,0,0,0
34524,1151951.95195195,1,0,0,1,1,0,0,1
34666,1156690.02335669,1,0,0,1,1,0,0,1
