trackId,initialFrame,finalFrame,Frame_nums,width,length,class,CrossType,Signal_Violation_Behavior
3,0,190,191,0.6521547745597251,1.5595147095607402,bicycle,StraightCross,No violation of traffic lights
15,0,133,134,1.8020910257231746,4.794162375951992,car,StraightCross,No violation of traffic lights
16,0,163,164,1.717623919763589,4.628971177086246,car,StraightCross,No violation of traffic lights
17,0,168,169,1.7412328636746799,4.607373390279934,car,StraightCross,No violation of traffic lights
22,119,223,105,1.840816341809627,4.725492960913632,car,StraightCross,No violation of traffic lights
25,340,441,102,1.8580754558129935,4.79311826176006,car,StraightCross,No violation of traffic lights
28,255,316,62,1.817138938240641,4.784018916147395,car,StraightCross,No violation of traffic lights
29,265,458,194,0.6143109560892365,1.6033733126549603,bicycle,StraightCross,No violation of traffic lights
30,294,426,133,0.6643066810306444,1.617197337247368,motorcycle,StraightCross,No violation of traffic lights
31,330,439,110,0.6906319611916165,1.581585414156066,motorcycle,StraightCross,red-light running
33,349,496,148,0.6834229182387332,1.412919427644795,motorcycle,StraightCross,red-light running
34,353,570,218,0.7326822116810247,1.5163496267221939,motorcycle,StraightCross,red-light running
38,454,883,430,1.6914575053677992,5.023924803842828,truck,StraightCross,No violation of traffic lights
40,500,625,126,0.5977315745344566,1.594297704388255,bicycle,StraightCross,No violation of traffic lights
42,563,812,250,1.8828154266442099,4.744712958957841,car,StraightCross,No violation of traffic lights
43,605,820,216,1.8119231271368867,4.734476196677357,car,StraightCross,No violation of traffic lights
44,612,733,122,0.7923258909338449,1.997140400551433,motorcycle,StraightCross,red-light running
46,682,886,205,1.8131598668813398,4.699890026000466,car,StraightCross,No violation of traffic lights
47,761,891,131,1.8827323605164334,4.845417255326127,car,StraightCross,No violation of traffic lights
50,706,1186,481,0.6250650952485117,1.5142214404062362,bicycle,StraightCross,No violation of traffic lights
53,755,842,88,1.7818356544977774,4.779749728347753,car,StraightCross,No violation of traffic lights
56,798,1025,228,0.7200086565329978,1.7596597146559911,motorcycle,StraightCross,No violation of traffic lights
60,971,1263,293,0.7851047034297852,1.2815627040924218,motorcycle,StraightCross,red-light running
61,973,1061,89,0.8881166753817894,2.2072384749992553,motorcycle,StraightCross,red-light running
62,985,1222,238,0.6905136442788339,1.629917725575863,bicycle,StraightCross,red-light running
63,1026,1079,54,1.8509045308861989,4.680817190749714,car,StraightCross,No violation of traffic lights
64,1062,1135,74,0.6636901263499939,1.512274369144349,motorcycle,StraightCross,No violation of traffic lights
65,1090,1154,65,1.6947391124734847,4.553725564066815,car,StraightCross,No violation of traffic lights
66,1128,1178,51,1.7468113418264606,3.880839292287527,car,StraightCross,No violation of traffic lights
69,1229,1643,415,0.7898217838309608,1.6149424749194659,bicycle,StraightCross,red-light running
71,1301,1352,52,2.0950302738872963,6.253538477319338,truck,StraightCross,No violation of traffic lights
75,1387,1443,57,1.8642277944837944,4.93297775771907,car,StraightCross,yellow-light running
76,1386,1455,70,0.6857378594162885,1.6681466649872556,motorcycle,StraightCross,yellow-light running
77,1394,1460,67,0.762102562738468,1.668657319310015,motorcycle,StraightCross,yellow-light running
79,1446,1806,361,1.8566714326614602,4.384887608909953,car,StraightCross,No violation of traffic lights
80,1446,1949,504,0.5953282621674147,1.4875506374609277,bicycle,StraightCross,No violation of traffic lights
82,1479,1557,79,1.778324151650816,4.683593162031546,car,StraightCross,No violation of traffic lights
83,1541,1683,143,0.7153943513115819,1.5297008792521247,motorcycle,StraightCross,No violation of traffic lights
87,1678,1927,250,0.48795207582657685,1.1655552650657328,bicycle,StraightCross,No violation of traffic lights
88,1711,1927,217,0.6242308724439152,1.6126900098703865,bicycle,StraightCross,No violation of traffic lights
