trackId,initialFrame,finalFrame,Frame_nums,class
P1,0,10323,10324,pedestrain
P2,39,438,400,pedestrain
P3,236,558,323,pedestrain
P4,246,569,324,pedestrain
P5,1026,1208,183,pedestrain
P6,1053,1265,213,pedestrain
P7,1049,1217,169,pedestrain
P8,1060,1071,12,pedestrain
P9,1146,1581,436,pedestrain
P10,2010,2023,14,pedestrain
P11,2069,3087,1019,pedestrain
P12,3218,3283,66,pedestrain
P13,3303,3769,467,pedestrain
P14,3834,3945,112,pedestrain
P15,4665,4858,194,pedestrain
P16,4782,5456,675,pedestrain
P17,5015,5564,550,pedestrain
P18,5014,5569,556,pedestrain
P19,5149,5600,452,pedestrain
P20,5156,5609,454,pedestrain
P21,5295,5556,262,pedestrain
P22,5356,5565,210,pedestrain
P23,5304,5552,249,pedestrain
P24,5469,5488,20,pedestrain
P25,5661,5712,52,pedestrain
P26,6342,6628,287,pedestrain
P27,5789,5907,119,pedestrain
P28,5802,6352,551,pedestrain
P29,5799,5912,114,pedestrain
P30,5956,6236,281,pedestrain
P31,6161,6173,13,pedestrain
P32,6142,6500,359,pedestrain
P33,6165,6451,287,pedestrain
P34,6594,6994,401,pedestrain
P35,6618,6977,360,pedestrain
P36,6608,6895,288,pedestrain
P37,6629,6909,281,pedestrain
P38,6651,6961,311,pedestrain
P39,6818,6895,78,pedestrain
P40,6767,7051,285,pedestrain
P41,6912,6931,20,pedestrain
P42,7062,7121,60,pedestrain
P43,7490,7847,358,pedestrain
P44,7651,7988,338,pedestrain
P45,7855,8025,171,pedestrain
P46,7885,8458,574,pedestrain
P47,8101,8114,14,pedestrain
P48,8322,8385,64,pedestrain
P49,8640,8670,31,pedestrain
P50,8782,9066,285,pedestrain
P51,8864,8928,65,pedestrain
P52,8878,9181,304,pedestrain
P53,8954,9415,462,pedestrain
P54,9181,9193,13,pedestrain
P55,9251,9755,505,pedestrain
P56,9428,9500,73,pedestrain
P57,9652,9787,136,pedestrain
P58,9611,9702,92,pedestrain
P59,9644,10139,496,pedestrain
P60,9659,10226,568,pedestrain
P61,9666,10169,504,pedestrain
P62,9668,10075,408,pedestrain
P63,10017,10243,227,pedestrain
P64,10017,10290,274,pedestrain
P65,10247,10323,77,pedestrain
P66,10253,10323,71,pedestrain
P67,10274,10290,17,pedestrain
