trackId,initialFrame,finalFrame,Frame_nums,width,length,class,CrossType,Signal_Violation_Behavior
7,0,153,154,0.6819972983224525,1.672427850047446,bicycle,StraightCross,No violation of traffic lights
11,0,223,224,1.7226265665047402,4.306483053734361,car,StraightCross,No violation of traffic lights
15,13,162,150,0.8789502563155569,1.5671043391600734,motorcycle,StraightCross,No violation of traffic lights
17,39,457,419,1.6454899571538009,4.184923395986205,car,StraightCross,No violation of traffic lights
18,158,291,134,0.7562787324776243,1.7537172826926781,motorcycle,StraightCross,red-light running
19,179,263,85,1.7460037466988556,4.663702221873062,car,StraightCross,No violation of traffic lights
20,244,393,150,0.6828360577483872,1.7070252583461059,bicycle,StraightCross,yellow-light running
21,294,510,217,0.6774318816115167,1.7552900915972072,bicycle,StraightCross,red-light running
23,325,737,413,1.868486886092777,4.769218816510285,car,StraightCross,No violation of traffic lights
25,380,690,311,0.6553645109527358,1.5130824878547993,bicycle,StraightCross,red-light running
27,396,524,129,0.6750115330020043,1.64646659334,bicycle,StraightCross,No violation of traffic lights
28,433,504,72,1.861158910787984,4.879703922120135,car,StraightCross,No violation of traffic lights
32,521,740,220,1.7692601725575015,4.597672486557071,car,StraightCross,No violation of traffic lights
35,585,957,373,0.7263199341671425,1.5544810472780652,motorcycle,StraightCross,No violation of traffic lights
36,668,888,221,0.685535903044913,1.6517134979305232,bicycle,StraightCross,No violation of traffic lights
37,697,785,89,1.9845272185301437,6.607395205366715,truck,StraightCross,No violation of traffic lights
41,784,994,211,0.7087287358473552,1.6942995311383657,bicycle,StraightCross,No violation of traffic lights
43,816,1053,238,1.0796834690372359,2.014170937965782,car,StraightCross,No violation of traffic lights
44,915,1333,419,1.8753655980614135,4.85488597272377,car,StraightCross,No violation of traffic lights
47,996,1326,331,0.9185504595403446,1.582324141420502,motorcycle,StraightCross,red-light running
48,989,1051,63,2.5414831166128957,8.362158755474118,car,StraightCross,No violation of traffic lights
49,993,1126,134,0.6331476618156923,1.7005060033313861,bicycle,StraightCross,No violation of traffic lights
50,995,1127,133,0.6317028720750409,1.669593048901961,bicycle,StraightCross,No violation of traffic lights
53,1012,1159,148,0.844645066883216,2.1484876667717976,motorcycle,StraightCross,red-light running
54,1020,1316,297,1.9237118571320866,5.097644553589283,car,StraightCross,No violation of traffic lights
56,1034,1230,197,0.6419562879426287,1.5652385237197386,bicycle,StraightCross,red-light running
58,1056,1111,56,1.9437161717087497,4.912065252837135,car,StraightCross,No violation of traffic lights
62,1120,1165,46,1.9966997644730449,4.975595182698852,car,StraightCross,No violation of traffic lights
65,1240,1409,170,0.6702106909920825,1.6071347137813545,bicycle,StraightCross,red-light running
68,1298,1394,97,1.904847155449324,4.777837785223746,car,StraightCross,No violation of traffic lights
73,1368,1481,114,0.7406449301517499,1.9232562506365671,motorcycle,StraightCross,red-light running
74,1372,1459,88,0.7999793754308346,1.8476208455680094,motorcycle,StraightCross,No violation of traffic lights
77,1464,1534,71,2.0229348657514095,4.868700203775786,car,StraightCross,yellow-light running
80,1525,1702,178,0.7954139709229998,1.924452390490556,motorcycle,StraightCross,red-light running
81,1533,1926,394,1.8435316841606744,4.772826599906222,car,StraightCross,No violation of traffic lights
83,1559,1637,79,1.934446002273476,4.934528076561882,car,StraightCross,No violation of traffic lights
84,1567,1731,165,0.7609831910020385,1.8858621072329096,motorcycle,StraightCross,red-light running
85,1589,1805,217,0.6724690088798807,1.576978670506136,motorcycle,StraightCross,red-light running
86,1595,1727,133,0.6023050986107941,1.4939663900716678,motorcycle,StraightCross,red-light running
87,1661,1993,333,0.7858049672461846,1.6588787743269122,motorcycle,StraightCross,No violation of traffic lights
88,1666,1743,78,0.9160302009195304,1.9542586514662905,motorcycle,StraightCross,No violation of traffic lights
89,1693,1898,206,1.8357083137585408,4.748367436038141,car,StraightCross,No violation of traffic lights
92,1743,1905,163,1.7373355608023138,4.574099259576196,car,StraightCross,red-light running
