RawFrameID,timestamp(ms),Traffic light 1,Traffic light 2,Traffic light 3,Traffic light 4,Traffic light 5,Traffic light 6,Traffic light 7,Traffic light 8
-489,-16316.31632,1,0,0,1,1,0,0,1
290,9676.34301,3,0,0,3,3,0,0,3
380,12679.34601,0,0,0,0,0,0,0,0
410,13680.34701,0,1,1,0,0,1,1,0
1189,39673.00634,0,3,3,0,0,3,3,0
1280,42709.37604,0,0,0,0,0,0,0,0
1308,43643.64364,1,0,0,1,1,0,0,1
2089,69703.03637,3,0,0,3,3,0,0,3
2178,72672.67267,0,0,0,0,0,0,0,0
2209,73707.04037,0,1,1,0,0,1,1,0
2989,99733.0664,0,3,3,0,0,3,3,0
3078,102702.7027,0,0,0,0,0,0,0,0
3108,103703.7037,1,0,0,1,1,0,0,1
3887,129696.363,3,0,0,3,3,0,0,3
3978,132732.7327,0,0,0,0,0,0,0,0
4007,133700.367,0,1,1,0,0,1,1,0
4786,159693.0264,0,3,3,0,0,3,3,0
4876,162696.0294,0,0,0,0,0,0,0,0
4907,163730.3971,1,0,0,1,1,0,0,1
5685,189689.6897,3,0,0,3,3,0,0,3
5775,192692.6927,0,0,0,0,0,0,0,0
5805,193693.6937,0,1,1,0,0,1,1,0
6584,219686.353,0,3,3,0,0,3,3,0
6674,222689.356,0,0,0,0,0,0,0,0
6704,223690.357,1,0,0,1,1,0,0,1
7483,249683.0163,3,0,0,3,3,0,0,3
7573,252686.0194,0,0,0,0,0,0,0,0
7603,253687.0204,0,1,1,0,0,1,1,0
8382,279679.6797,0,3,3,0,0,3,3,0
8473,282716.0494,0,0,0,0,0,0,0,0
8502,283683.6837,1,0,0,1,1,0,0,1
9282,309709.7097,3,0,0,3,3,0,0,3
9371,312679.346,0,0,0,0,0,0,0,0
9402,313713.7137,0,1,1,0,0,1,1,0
10180,339673.0063,0,3,3,0,0,3,3,0
10270,342676.0093,0,0,0,0,0,0,0,0
10301,343710.377,1,0,0,1,1,0,0,1
11080,369703.0364,3,0,0,3,3,0,0,3
11170,372706.0394,0,0,0,0,0,0,0,0
11199,373673.6737,0,1,1,0,0,1,1,0
11979,399699.6997,0,3,3,0,0,3,3,0
12069,402702.7027,0,0,0,0,0,0,0,0
12098,403670.337,1,0,0,1,1,0,0,1
12878,429696.363,3,0,0,3,3,0,0,3
12968,432699.366,0,0,0,0,0,0,0,0
12998,433700.367,0,1,1,0,0,1,1,0
13777,459693.0264,0,3,3,0,0,3,3,0
13867,462696.0294,0,0,0,0,0,0,0,0
13896,463663.6637,1,0,0,1,1,0,0,1
14675,489656.323,3,0,0,3,3,0,0,3
14765,492659.326,0,0,0,0,0,0,0,0
14795,493660.327,0,1,1,0,0,1,1,0
15574,519652.9863,0,3,3,0,0,3,3,0
15665,522689.356,0,0,0,0,0,0,0,0
15693,523623.6236,1,0,0,1,1,0,0,1
16474,549683.0163,3,0,0,3,3,0,0,3
16563,552652.6527,0,0,0,0,0,0,0,0
16594,553687.0204,0,1,1,0,0,1,1,0
17374,579713.0464,0,3,3,0,0,3,3,0
17463,582682.6827,0,0,0,0,0,0,0,0
17492,583650.317,1,0,0,1,1,0,0,1
18272,609676.343,3,0,0,3,3,0,0,3
18361,612645.9793,0,0,0,0,0,0,0,0
18390,613613.6136,0,1,1,0,0,1,1,0
19171,639673.0063,0,3,3,0,0,3,3,0
19260,642642.6426,0,0,0,0,0,0,0,0
19289,643610.2769,1,0,0,1,1,0,0,1
20070,669669.6697,3,0,0,3,3,0,0,3
20160,672672.6727,0,0,0,0,0,0,0,0
20190,673673.6737,0,1,1,0,0,1,1,0
20970,699699.6997,0,3,3,0,0,3,3,0
21060,702702.7027,0,0,0,0,0,0,0,0
21089,703670.337,1,0,0,1,1,0,0,1
21871,729763.0964,3,0,0,3,3,0,0,3
21959,732699.366,0,0,0,0,0,0,0,0
21989,733700.367,0,1,1,0,0,1,1,0
22768,759693.0264,0,3,3,0,0,3,3,0
22858,762696.0294,0,0,0,0,0,0,0,0
22889,763730.3971,1,0,0,1,1,0,0,1
23667,789689.6897,3,0,0,3,3,0,0,3
23757,792692.6927,0,0,0,0,0,0,0,0
23787,793693.6937,0,1,1,0,0,1,1,0
24567,819719.7197,0,3,3,0,0,3,3,0
24656,822689.356,0,0,0,0,0,0,0,0
