FrameID,timestamp(ms),Traffic light 1,Traffic light 2,Traffic light 3,Traffic light 4,Traffic light 5,Traffic light 6,Traffic light 7,Traffic light 8
-470,-15682.3490156824,0,1,1,0,0,1,1,0
308,10276.9436102769,0,3,3,0,0,3,3,0
398,13279.9466132799,0,0,0,0,0,0,0,0
427,14247.5809142476,1,0,0,1,1,0,0,1
1507,50283.6169502836,3,0,0,3,3,0,0,3
1597,53286.6199532866,0,0,0,0,0,0,0,0
1627,54287.6209542876,0,1,1,0,0,1,1,0
2405,80246.9135802469,0,3,3,0,0,3,3,0
2495,83249.9165832499,0,0,0,0,0,0,0,0
2525,84250.9175842509,1,0,0,1,1,0,0,1
3604,120253.586920254,3,0,0,3,3,0,0,3
3694,123256.589923257,0,0,0,0,0,0,0,0
3724,124257.590924258,0,1,1,0,0,1,1,0
4503,150250.25025025,0,3,3,0,0,3,3,0
4592,153219.88655322,0,0,0,0,0,0,0,0
4622,154220.887554221,1,0,0,1,1,0,0,1
5702,190256.923590257,3,0,0,3,3,0,0,3
5791,193226.559893227,0,0,0,0,0,0,0,0
5822,194260.927594261,0,1,1,0,0,1,1,0
6602,220286.953620287,0,3,3,0,0,3,3,0
6690,223223.223223223,0,0,0,0,0,0,0,0
6720,224224.224224224,1,0,0,1,1,0,0,1
7800,260260.26026026,3,0,0,3,3,0,0,3
7890,263263.263263263,0,0,0,0,0,0,0,0
7920,264264.264264264,0,1,1,0,0,1,1,0
8688,289889.88988989,0,3,3,0,0,3,3,0
8789,293259.92659326,0,0,0,0,0,0,0,0
8819,294260.927594261,1,0,0,1,1,0,0,1
9899,330296.963630297,3,0,0,3,3,0,0,3
9990,333333.333333333,0,0,0,0,0,0,0,0
10019,334300.967634301,0,1,1,0,0,1,1,0
10799,360326.993660327,0,3,3,0,0,3,3,0
10889,363329.99666333,0,0,0,0,0,0,0,0
10918,364297.630964298,1,0,0,1,1,0,0,1
11999,400367.033700367,3,0,0,3,3,0,0,3
12089,403370.03670337,0,0,0,0,0,0,0,0
12118,404337.671004338,0,1,1,0,0,1,1,0
12899,430397.063730397,0,3,3,0,0,3,3,0
12989,433400.0667334,0,0,0,0,0,0,0,0
13017,434334.334334334,1,0,0,1,1,0,0,1
14098,470403.737070404,3,0,0,3,3,0,0,3
14188,473406.740073407,0,0,0,0,0,0,0,0
14217,474374.374374374,0,1,1,0,0,1,1,0
14998,500433.767100434,0,3,3,0,0,3,3,0
15088,503436.770103437,0,0,0,0,0,0,0,0
15117,504404.404404404,1,0,0,1,1,0,0,1
16197,540440.44044044,3,0,0,3,3,0,0,3
16287,543443.443443444,0,0,0,0,0,0,0,0
16316,544411.077744411,0,1,1,0,0,1,1,0
17097,570470.470470471,0,3,3,0,0,3,3,0
17187,573473.473473474,0,0,0,0,0,0,0,0
17217,574474.474474474,1,0,0,1,1,0,0,1
18294,610410.410410411,3,0,0,3,3,0,0,3
18384,613413.413413413,0,0,0,0,0,0,0,0
18415,614447.781114448,0,1,1,0,0,1,1,0
19193,640407.073740407,0,3,3,0,0,3,3,0
19283,643410.07674341,0,0,0,0,0,0,0,0
19314,644444.444444444,1,0,0,1,1,0,0,1
20391,680380.38038038,3,0,0,3,3,0,0,3
20481,683383.383383383,0,0,0,0,0,0,0,0
20511,684384.384384384,0,1,1,0,0,1,1,0
21290,710377.043710377,0,3,3,0,0,3,3,0
21380,713380.04671338,0,0,0,0,0,0,0,0
21410,714381.047714381,1,0,0,1,1,0,0,1
22488,750350.35035035,3,0,0,3,3,0,0,3
22578,753353.353353353,0,0,0,0,0,0,0,0
22608,754354.354354354,0,1,1,0,0,1,1,0
23387,780347.013680347,0,3,3,0,0,3,3,0
23477,783350.01668335,0,0,0,0,0,0,0,0
23507,784351.017684351,1,0,0,1,1,0,0,1
24585,820320.32032032,3,0,0,3,3,0,0,3
24675,823323.323323323,0,0,0,0,0,0,0,0
24706,824357.691024358,0,1,1,0,0,1,1,0
25485,850350.35035035,0,3,3,0,0,3,3,0
25575,853353.353353353,0,0,0,0,0,0,0,0
25606,854387.721054388,1,0,0,1,1,0,0,1
26684,890357.023690357,3,0,0,3,3,0,0,3
26774,893360.02669336,0,0,0,0,0,0,0,0
26804,894361.027694361,0,1,1,0,0,1,1,0
27584,920387.053720387,0,3,3,0,0,3,3,0
27673,923356.690023357,0,0,0,0,0,0,0,0
27704,924391.057724391,1,0,0,1,1,0,0,1
28783,960393.727060394,3,0,0,3,3,0,0,3
28872,963363.363363363,0,0,0,0,0,0,0,0
28902,964364.364364364,0,1,1,0,0,1,1,0
29682,990390.39039039,0,3,3,0,0,3,3,0
29771,993360.02669336,0,0,0,0,0,0,0,0
29801,994361.027694361,1,0,0,1,1,0,0,1
30880,1030363.69703036,3,0,0,3,3,0,0,3
30947,1032599.2659326,3,0,0,3,3,0,0,3
