trackId,initialFrame,finalFrame,Frame_nums,class
P1,0,3910,3911,pedestrain
P2,48,155,108,pedestrain
P3,141,591,451,pedestrain
P4,176,268,93,pedestrain
P5,385,884,500,pedestrain
P6,530,739,210,pedestrain
P7,682,758,77,pedestrain
P8,763,1010,248,pedestrain
P9,839,1178,340,pedestrain
P10,1083,1677,595,pedestrain
P11,1530,1901,372,pedestrain
P12,1899,1958,60,pedestrain
P13,2928,2975,48,pedestrain
P14,3400,4034,635,pedestrain
P15,3390,4040,651,pedestrain
P16,3550,4175,626,pedestrain
P17,3922,3939,18,pedestrain
P18,3987,4261,275,pedestrain
P19,4544,4570,27,pedestrain
P20,5109,5177,69,pedestrain
P21,5093,5345,253,pedestrain
P22,5828,5841,14,pedestrain
P23,5853,5990,138,pedestrain
P24,6047,6089,43,pedestrain
P25,6166,6236,71,pedestrain
P26,6329,6938,610,pedestrain
P27,6330,6948,619,pedestrain
P28,6677,7294,618,pedestrain
P29,6962,7015,54,pedestrain
P30,6982,7055,74,pedestrain
P31,6981,6992,12,pedestrain
P32,7002,7342,341,pedestrain
P33,7224,7379,156,pedestrain
P34,7189,7379,191,pedestrain
P35,7445,8037,593,pedestrain
P36,7509,7559,51,pedestrain
P37,7678,7800,123,pedestrain
P38,8038,8125,88,pedestrain
P39,8275,8346,72,pedestrain
P40,8217,8537,321,pedestrain
P41,8376,8415,40,pedestrain
P42,8614,8961,348,pedestrain
P43,9080,9453,374,pedestrain
P44,8974,8987,14,pedestrain
P45,9272,9583,312,pedestrain
P46,9365,10260,896,pedestrain
P47,9632,10005,374,pedestrain
P48,9845,10261,417,pedestrain
P49,9991,10060,70,pedestrain
P50,10030,10106,77,pedestrain
P51,10246,10294,49,pedestrain
P52,10201,10360,160,pedestrain
P53,10310,10360,51,pedestrain
P54,10321,10339,19,pedestrain
P55,10337,10360,24,pedestrain
